params: {'alpha': 1.9, 'beta': 0.0, 'loc': 0.0, 'scale': 1.0}
      N        means    error_min    error_max        stdev    stdev/mean      time
-------  -----------  -----------  -----------  -----------  ------------  --------
     10  0.0263925    0.0235178    0.0308395    0.00210139      0.0796205   2.39067
    100  0.00829881   0.00643282   0.00944627   0.000683382     0.082347    2.5302
   1000  0.00262559   0.00231551   0.00284128   0.000153471     0.0584521   2.70905
  10000  0.000844123  0.000719945  0.000944803  5.70748e-05     0.0676143   4.50629
 100000  0.000263105  0.000228422  0.000291486  1.66957e-05     0.0634563   9.11293
1000000  8.611e-05    7.55386e-05  9.93237e-05  5.35489e-06     0.0621866  82.0021
params: {'alpha': 1.4, 'beta': 0.0, 'loc': 0.0, 'scale': 1.0}
      N        means    error_min    error_max        stdev    stdev/mean       time
-------  -----------  -----------  -----------  -----------  ------------  ---------
     10  0.0410849    0.036558     0.0464111    0.00256912      0.0625321    4.51192
    100  0.0139539    0.0125417    0.0160894    0.00086262      0.0618192    4.31794
   1000  0.0042801    0.00363358   0.00489258   0.000309804     0.0723824    4.50217
  10000  0.00137539   0.00121011   0.00150334   8.59498e-05     0.0624914    7.93643
 100000  0.00043477   0.000385623  0.000503706  3.2557e-05      0.0748831   20.3208
1000000  0.000132852  0.000114421  0.000156621  9.75805e-06     0.0734506  103.687
params: {'alpha': 0.9, 'beta': 0.0, 'loc': 0.0, 'scale': 1.0}
      N        means    error_min    error_max        stdev    stdev/mean       time
-------  -----------  -----------  -----------  -----------  ------------  ---------
     10  0.0713562    0.0651368    0.0825391    0.0045345       0.0635473    3.16844
    100  0.0240064    0.0203676    0.0288822    0.00204256      0.0850839    3.50338
   1000  0.00785334   0.00676729   0.0091119    0.000580984     0.0739791    2.80572
  10000  0.00245641   0.00221818   0.00269085   0.000137786     0.0560925    6.16276
 100000  0.000787017  0.000712575  0.000864463  5.10505e-05     0.0648658   17.7947
1000000  0.000239613  0.000209178  0.000267703  1.56467e-05     0.0652998  216.688
